Country Name,Country Code,Series Name,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],time_range01
Japan,JPN,Domestic credit to private sector (% of GDP),206.5826884,214.5838172,217.7608873,208.8150056,180.2015371,177.9180356,-1.387193082
"Korea, Rep.",KOR,Domestic credit to private sector (% of GDP),56.67233946,61.78033276,66.84502403,71.74527619,103.2292227,112.6511091,4.70322838
Mexico,MEX,Domestic credit to private sector (% of GDP),21.24788673,18.98627552,16.34147119,15.03995576,12.87772063,14.8862739,2.261030577
Netherlands,NLD,Domestic credit to private sector (% of GDP),..,..,..,..,110.4648243,109.1860509,..
New Zealand,NZL,Domestic credit to private sector (% of GDP),..,..,..,..,..,..,..
Norway,NOR,Domestic credit to private sector (% of GDP),..,..,..,..,96.1593992,102.3263579,..
Poland,POL,Domestic credit to private sector (% of GDP),20.5441532,22.32858576,25.18770127,26.43043323,23.56009812,12.86938024,5.332157135
Portugal,PRT,Domestic credit to private sector (% of GDP),..,..,..,..,115.0027543,119.0522096,..
Slovak Republic,SVK,Domestic credit to private sector (% of GDP),..,..,..,..,..,..,..
Slovenia,SVN,Domestic credit to private sector (% of GDP),..,..,..,..,..,..,..
Spain,ESP,Domestic credit to private sector (% of GDP),..,..,..,..,94.93470073,99.31839457,..
Sweden,SWE,Domestic credit to private sector (% of GDP),34.73217247,35.84329081,37.46580914,39.81025276,89.5850957,89.80437956,7.186834709
Switzerland,CHE,Domestic credit to private sector (% of GDP),146.2381517,144.4861804,151.1825082,141.8636693,136.66099,137.5082672,0.730116215
Turkiye,TUR,Domestic credit to private sector (% of GDP),..,..,..,..,..,..,..
United Kingdom,GBR,Domestic credit to private sector (% of GDP),102.0006248,102.4366423,105.3711631,114.6695752,119.8806799,124.8607026,1.371324484
United States,USA,Domestic credit to private sector (% of GDP),146.5798202,157.804636,171.6142203,162.6203055,170.8494222,162.4042708,1.163586592
Argentina,ARG,Domestic credit to private sector (% of GDP),21.93345876,24.15329877,24.89334375,23.89473362,20.83357465,15.3318584,-2.332206357
Bahrain,BHR,Domestic credit to private sector (% of GDP),45.00062644,50.07096469,52.31974502,40.51178965,41.8156768,44.53830714,2.755465171
Brazil,BRA,Domestic credit to private sector (% of GDP),40.85223717,29.53226057,29.8269102,31.14098578,29.00403802,29.64514194,2.73436676
Bulgaria,BGR,Domestic credit to private sector (% of GDP),8.546145914,8.944892672,11.47815096,11.95557457,14.33799895,18.77728457,10.32108063
China,CHN,Domestic credit to private sector (% of GDP),96.72581944,105.1932233,110.3835246,111.1229709,110.0445907,117.4986986,2.532798349
Colombia,COL,Domestic credit to private sector (% of GDP),36.47584514,35.21855052,31.65418344,20.94747439,21.9066126,21.52330896,1.39712448
Croatia,HRV,Domestic credit to private sector (% of GDP),234.7601572,260.6824798,237.527108,238.1797782,271.0598605,321.6132364,3.955721262
Cyprus,CYP,Domestic credit to private sector (% of GDP),..,..,..,..,144.4192807,149.4930254,..
Dominican Republic,DOM,Domestic credit to private sector (% of GDP),..,..,..,..,..,..,..
Ecuador,ECU,Domestic credit to private sector (% of GDP),..,..,..,..,..,18.07338282,..
"Egypt, Arab Rep.",EGY,Domestic credit to private sector (% of GDP),39.69360662,46.55501044,52.00182055,51.95327845,54.93114023,54.6553972,-2.283322503
El Salvador,SLV,Domestic credit to private sector (% of GDP),..,..,..,..,45.9128729,45.56045824,..
"Hong Kong SAR, China",HKG,Domestic credit to private sector (% of GDP),169.2800071,166.8047068,152.7926523,150.3513642,148.9766313,145.707823,1.141665404
Indonesia,IDN,Domestic credit to private sector (% of GDP),..,..,..,..,..,..,..
Iraq,IRQ,Domestic credit to private sector (% of GDP),..,..,..,..,..,..,..
Jordan,JOR,Domestic credit to private sector (% of GDP),69.99102641,69.12631466,71.38786494,72.08740227,75.70839292,72.7396232,-0.266636773
Kazakhstan,KAZ,Domestic credit to private sector (% of GDP),..,..,..,..,..,..,..
Latvia,LVA,Domestic credit to private sector (% of GDP),..,..,..,..,..,..,..
Lithuania,LTU,Domestic credit to private sector (% of GDP),..,..,..,..,..,..,..
Malaysia,MYS,Domestic credit to private sector (% of GDP),158.3850476,158.5053788,149.1529811,134.9998539,129.1013756,121.8273449,-1.400014224
Morocco,MAR,Domestic credit to private sector (% of GDP),..,..,..,..,..,..,..
Pakistan,PAK,Domestic credit to private sector (% of GDP),24.64621515,25.11394294,25.47431764,20.13963826,19.8099353,19.61297408,-2.617558387
Panama,PAN,Domestic credit to private sector (% of GDP),..,..,..,..,..,..,..
Peru,PER,Domestic credit to private sector (% of GDP),24.40979955,28.19104966,28.97732825,26.34167756,23.44780788,22.20204829,3.256660498
Philippines,PHL,Domestic credit to private sector (% of GDP),49.40110697,41.99260447,37.32792991,35.60713966,36.2651173,33.66395998,-1.186120479
Romania,ROU,Domestic credit to private sector (% of GDP),8.292438069,11.66792316,7.987189441,7.12522458,8.653376568,10.08985851,7.125828019
Russian Federation,RUS,Domestic credit to private sector (% of GDP),..,..,..,..,16.83777185,17.97239278,..
Saudi Arabia,SAU,Domestic credit to private sector (% of GDP),21.50874652,29.18835509,26.74462341,24.2356164,27.09049227,28.94838948,5.180094628
South Africa,ZAF,Domestic credit to private sector (% of GDP),102.3654612,103.7189432,118.1744005,117.0953665,121.0697456,97.31737283,1.20687107
Thailand,THA,Domestic credit to private sector (% of GDP),..,..,..,..,..,..,..
Tunisia,TUN,Domestic credit to private sector (% of GDP),58.9446246,59.91141275,59.46891512,59.98880863,61.51107842,62.30334456,1.322829763
Uruguay,URY,Domestic credit to private sector (% of GDP),25.90578431,40.521269,43.5957665,45.09422693,53.85388568,70.51173827,0.394852896
"Venezuela, RB",VEN,Domestic credit to private sector (% of GDP),12.60689645,12.04051444,11.21428579,10.48384232,12.37006674,10.12716637,..
Vietnam,VNM,Domestic credit to private sector (% of GDP),19.84884112,20.12386314,28.18658706,35.25907401,39.29039363,43.13077449,8.422722468
